,open,high,low,close,volume,value
2023-06-27 09:00:00,400.0,600.0,399.0,501.0,487018736.836609,266398128840.61713
2023-06-28 09:00:00,501.0,503.0,450.0,455.0,66056270.63974509,31325415909.59348
2023-06-29 09:00:00,455.0,474.0,454.0,461.0,46376897.4684766,21508215561.982224
2023-06-30 09:00:00,461.0,472.0,402.0,458.0,41603827.51360098,18799661188.26419
2023-07-01 09:00:00,458.0,469.0,444.0,466.0,16278842.69106969,7394871015.583026
2023-07-02 09:00:00,465.0,467.0,440.0,450.0,13447173.70798168,6081747584.556768
2023-07-03 09:00:00,451.0,524.0,451.0,492.0,210752806.6033579,102804183700.87045
2023-07-04 09:00:00,492.0,497.0,452.0,458.0,39987037.48341427,18940194416.07887
2023-07-05 09:00:00,458.0,460.0,425.0,440.0,18214327.84575322,8127085681.420833
2023-07-06 09:00:00,440.0,450.0,421.0,423.0,15252125.96613916,6657373488.611398
2023-07-07 09:00:00,422.0,454.0,419.0,428.0,50807402.51032542,22114944985.493656
2023-07-08 09:00:00,427.0,438.0,422.0,430.0,17847165.21471941,7676530177.325389
2023-07-09 09:00:00,431.0,433.0,422.0,428.0,5422546.44586413,2311521173.559097
2023-07-10 09:00:00,428.0,432.0,409.0,424.0,14337300.49929461,6008720548.369831
2023-07-11 09:00:00,424.0,428.0,417.0,424.0,8920158.93309038,3759430268.0808687
2023-07-12 09:00:00,424.0,430.0,414.0,421.0,9126979.04416179,3862429705.9394836
2023-07-13 09:00:00,420.0,440.0,412.0,440.0,13058609.64918799,5572189149.166522
2023-07-14 09:00:00,440.0,510.0,418.0,446.0,56001560.55524218,26238820818.50348
2023-07-15 09:00:00,446.0,485.0,438.0,450.0,61837817.73978406,28083342665.82285
2023-07-16 09:00:00,450.0,450.0,423.0,427.0,14421331.90025244,6264053334.198718
2023-07-17 09:00:00,427.0,439.0,416.0,430.0,16917035.70325231,7277273226.389499
2023-07-18 09:00:00,430.0,437.0,416.0,425.0,12547888.85455749,5349695207.695621
2023-07-19 09:00:00,425.0,432.0,420.0,425.0,5137307.83908767,2188795581.212177
2023-07-20 09:00:00,425.0,447.0,423.0,438.0,12633240.75676533,5500599946.123553
2023-07-21 09:00:00,438.0,442.0,426.0,432.0,6968368.32548916,3018663180.5032
2023-07-22 09:00:00,432.0,441.0,422.0,426.0,11134872.44245228,4823164860.518619
2023-07-23 09:00:00,426.0,433.0,422.0,431.0,5328159.31168784,2279301265.2260413
2023-07-24 09:00:00,431.0,431.0,384.0,399.0,17956379.05274606,7297182788.196028
2023-07-25 09:00:00,399.0,401.0,389.0,395.0,8060984.72698481,3176203388.3159823
2023-07-26 09:00:00,394.0,399.0,383.0,395.0,6837918.50620275,2664072119.692139
2023-07-27 09:00:00,394.0,399.0,389.0,397.0,4021327.40263683,1586455474.3015158
2023-07-28 09:00:00,396.0,401.0,391.0,399.0,4643995.3800656,1838371064.7248342
2023-07-29 09:00:00,399.0,400.0,395.0,399.0,6023757.92826744,2392066856.81843
2023-07-30 09:00:00,399.0,411.0,386.0,393.0,10900202.75076924,4353286070.379388
2023-07-31 09:00:00,393.0,396.0,384.0,393.0,4346214.36739289,1702746260.3025444
2023-08-01 09:00:00,393.0,399.0,381.0,398.0,5923723.54093413,2296571290.056591
2023-08-02 09:00:00,398.0,400.0,388.0,391.0,3790856.20911838,1495469979.8195963
2023-08-03 09:00:00,391.0,397.0,385.0,387.0,3122730.26154187,1219433796.4966922
2023-08-04 09:00:00,387.0,395.0,386.0,391.0,2978064.83036286,1160207740.0027463
2023-08-05 09:00:00,392.0,394.0,386.0,392.0,3342282.73009275,1305026523.5184624
2023-08-06 09:00:00,391.0,407.0,391.0,401.0,9089820.84951062,3638593964.914491
2023-08-07 09:00:00,399.0,404.0,365.0,383.0,8332870.92258468,3212649317.8949227
2023-08-08 09:00:00,381.0,397.0,377.0,384.0,6238008.37977813,2386032471.555762
2023-08-09 09:00:00,383.0,386.0,376.0,381.0,7757740.19831769,2948098299.2400093
2023-08-10 09:00:00,381.0,383.0,376.0,378.0,3452295.17065212,1309695995.6483562
2023-08-11 09:00:00,378.0,384.0,376.0,382.0,2244423.0939935,851286037.4023154
2023-08-12 09:00:00,381.0,385.0,379.0,382.0,3373096.41984196,1292634841.0212104
2023-08-13 09:00:00,382.0,386.0,380.0,381.0,2509025.39911131,957607146.8361629
2023-08-14 09:00:00,381.0,383.0,374.0,378.0,5792124.53901536,2188999003.343575
2023-08-15 09:00:00,377.0,382.0,350.0,354.0,9893399.3615194,3593401055.9689574
2023-08-16 09:00:00,353.0,389.0,324.0,335.0,125301002.44863772,45726123406.68295
2023-08-17 09:00:00,335.0,342.0,265.0,283.0,37333015.83240819,11529891522.856651
2023-08-18 09:00:00,283.0,302.0,275.0,301.0,14865901.21969454,4240862946.3866487
2023-08-19 09:00:00,302.0,317.0,294.0,315.0,8873312.3088836,2704005482.5266304
2023-08-20 09:00:00,315.0,321.0,308.0,311.0,6734733.17136541,2117324821.743196
2023-08-21 09:00:00,311.0,313.0,291.0,298.0,4259691.54931624,1293990376.800675
2023-08-22 09:00:00,298.0,300.0,277.0,292.0,7787896.26935604,2245095497.0383143
2023-08-23 09:00:00,292.0,297.0,283.0,292.0,7569830.09672783,2201098551.130652
2023-08-24 09:00:00,292.0,304.0,281.0,282.0,20043284.06934608,5884049410.378748
