,open,high,low,close,volume,value
2023-01-05 09:00:00,9.12,9.21,8.95,9.13,62513929.18754271,570422223.6810104
2023-01-06 09:00:00,9.13,9.26,8.86,9.17,54962834.23150738,495545875.29524076
2023-01-07 09:00:00,9.18,9.34,9.05,9.23,87820043.84262612,810144425.9885005
2023-01-08 09:00:00,9.24,9.74,9.06,9.47,404412933.48492587,3764441996.187947
2023-01-09 09:00:00,9.47,10.1,9.37,9.72,402529510.00562614,3933232811.4862432
2023-01-10 09:00:00,9.72,10.1,9.54,10.0,138326402.0845668,1359691862.1456604
2023-01-11 09:00:00,10.0,10.3,9.67,10.2,134506030.54960012,1331497406.2941236
2023-01-12 09:00:00,10.3,10.4,9.88,10.3,121325119.06680182,1235503011.5600348
2023-01-13 09:00:00,10.3,11.1,10.2,11.0,97501384.37218247,1028587808.0367737
2023-01-14 09:00:00,11.0,11.9,10.7,11.3,225436511.6823603,2545351028.150194
2023-01-15 09:00:00,11.3,12.2,11.1,11.6,675661623.3978965,7830836600.333967
2023-01-16 09:00:00,11.6,11.8,11.2,11.6,171246861.456491,1972102607.9649827
2023-01-17 09:00:00,11.6,12.3,11.4,11.9,332948572.55764765,3948373129.17601
2023-01-18 09:00:00,11.9,12.0,10.9,11.0,233068420.69267136,2679572567.5135293
2023-01-19 09:00:00,10.9,11.3,10.9,11.3,111913445.11277369,1245811490.9708595
2023-01-20 09:00:00,11.2,12.0,11.1,11.9,139440118.55640697,1593288127.4609158
2023-01-21 09:00:00,11.9,12.9,11.8,12.0,423479538.6483952,5199787203.803498
2023-01-22 09:00:00,11.9,12.6,11.9,12.2,148426700.89307824,1801371342.0730782
2023-01-23 09:00:00,12.1,12.6,11.9,12.6,132284831.4329351,1622105934.031312
2023-01-24 09:00:00,12.6,13.1,11.8,12.1,480226613.2225798,6075818031.216582
2023-01-25 09:00:00,12.0,13.4,11.6,13.0,863982383.1939716,10918418330.939398
2023-01-26 09:00:00,13.0,13.1,12.4,12.8,215505217.46735865,2756287606.663484
2023-01-27 09:00:00,12.7,13.8,12.4,13.3,493549275.52500415,6468975859.398403
2023-01-28 09:00:00,13.2,13.3,12.6,12.9,187149368.09944683,2421374876.6109424
2023-01-29 09:00:00,12.8,13.0,12.6,13.0,124964740.65221746,1600073462.4143748
2023-01-30 09:00:00,12.9,13.1,11.4,11.8,371313103.58007395,4508293157.032736
2023-01-31 09:00:00,11.7,12.0,11.5,12.0,98987739.55153692,1162389292.3120866
2023-02-01 09:00:00,12.0,12.4,11.4,12.2,196410534.58776236,2325188601.4515467
2023-02-02 09:00:00,12.3,12.9,12.2,12.6,285159609.7918233,3578420435.652913
2023-02-03 09:00:00,12.6,13.8,12.5,13.7,732992320.5782286,9619121719.782045
2023-02-04 09:00:00,13.8,13.8,13.3,13.7,246082452.74831894,3334435438.639319
2023-02-05 09:00:00,13.6,14.9,12.9,13.7,879263820.0784521,12186579232.603893
2023-02-06 09:00:00,13.6,14.2,13.3,14.1,432977801.3818051,5941194904.391769
2023-02-07 09:00:00,14.0,14.4,13.5,14.4,264990160.94485542,3667436338.564925
2023-02-08 09:00:00,14.3,14.9,13.9,14.6,525348235.846478,7583881899.939487
2023-02-09 09:00:00,14.6,15.1,13.1,13.4,750981858.9090114,10667692623.385952
2023-02-10 09:00:00,13.4,13.6,13.0,13.4,267202242.05863267,3564251849.5205894
2023-02-11 09:00:00,13.5,13.6,13.1,13.5,108201760.94752055,1439297600.9144528
2023-02-12 09:00:00,13.5,13.8,13.2,13.4,99552097.75997108,1340833202.6023211
2023-02-13 09:00:00,13.3,13.5,12.4,12.8,253951563.14518365,3249579834.540989
2023-02-14 09:00:00,12.9,13.2,12.4,13.2,157930022.56742328,2019601885.96687
2023-02-15 09:00:00,13.2,14.2,13.0,14.1,326768592.36475044,4407517171.888559
2023-02-16 09:00:00,14.1,14.5,13.4,13.6,532103771.5417404,7536967663.30955
2023-02-17 09:00:00,13.5,14.3,13.4,14.2,162258366.5327745,2270685099.84704
2023-02-18 09:00:00,14.2,14.5,14.0,14.3,145026576.80904242,2068629320.0097828
2023-02-19 09:00:00,14.4,15.3,14.1,14.6,450349762.1469036,6651800784.451856
2023-02-20 09:00:00,14.6,20.6,14.1,18.4,11257703968.154675,211979713274.86942
2023-02-21 09:00:00,18.4,19.3,16.2,16.3,1912621647.5847423,34482658671.65053
2023-02-22 09:00:00,16.2,16.4,15.2,15.9,380997525.17705464,6005824124.312162
2023-02-23 09:00:00,15.9,16.1,15.2,15.4,198431650.58284205,3112735310.071616
2023-02-24 09:00:00,15.5,15.6,14.7,14.9,337800708.2192432,5122538959.864605
2023-02-25 09:00:00,15.0,15.7,14.6,15.1,424092803.6552852,6446387092.797539
2023-02-26 09:00:00,15.0,15.4,14.8,15.3,156676752.13855192,2368267886.784566
2023-02-27 09:00:00,15.3,16.0,14.9,15.4,381931729.0756156,5882604509.712806
2023-02-28 09:00:00,15.5,15.5,14.8,15.0,131386993.2393738,1983586709.5028484
2023-03-01 09:00:00,14.9,15.6,14.7,15.6,181663470.3311176,2775026591.00483
2023-03-02 09:00:00,15.5,17.5,14.9,16.1,2832583829.5824656,46025924496.364075
2023-03-03 09:00:00,16.2,16.2,14.0,14.8,679165386.9709857,10028865912.197634
2023-03-04 09:00:00,14.8,14.9,13.7,14.1,255599306.24892056,3673550144.0613647
2023-03-05 09:00:00,14.0,14.3,13.8,13.9,125165061.49532469,1756610673.578906
2023-03-06 09:00:00,13.8,14.1,13.3,13.9,154708705.14622387,2119664903.2459812
2023-03-07 09:00:00,13.9,14.1,13.1,13.5,131483999.05141298,1789679209.3277414
2023-03-08 09:00:00,13.5,13.5,12.5,12.6,135250504.42181683,1745371453.0939178
2023-03-09 09:00:00,12.6,13.1,11.8,12.1,214358257.38825053,2659751577.5125046
2023-03-10 09:00:00,12.0,12.5,11.6,12.5,248465340.59085748,2973624207.4600153
2023-03-11 09:00:00,12.5,12.8,11.7,12.3,115657381.48672043,1408453220.6631742
2023-03-12 09:00:00,12.2,13.0,11.9,12.9,98093556.88332748,1214415006.0164227
2023-03-13 09:00:00,13.0,13.7,12.7,13.6,216826146.3510211,2859020284.7262483
2023-03-14 09:00:00,13.6,14.5,13.2,14.0,314028512.1763616,4351393482.402443
2023-03-15 09:00:00,14.1,14.3,12.8,13.2,327810063.6423616,4497625900.620328
2023-03-16 09:00:00,13.0,13.5,12.9,13.3,206727045.25531325,2737106367.540562
2023-03-17 09:00:00,13.3,14.4,13.3,14.4,270162394.9949137,3732463246.162467
2023-03-18 09:00:00,14.4,14.9,14.1,14.3,258344358.7382714,3744514024.6932764
2023-03-19 09:00:00,14.2,15.3,14.2,15.0,376440071.54346746,5570074695.411914
2023-03-20 09:00:00,15.1,15.3,14.2,14.2,229807379.72135708,3390628202.055904
2023-03-21 09:00:00,14.3,14.6,13.6,14.3,161961381.47578946,2292191486.3135276
2023-03-22 09:00:00,14.4,14.5,13.5,14.0,171961645.04178113,2431362933.8878746
2023-03-23 09:00:00,14.0,14.5,13.7,14.5,89684804.98413676,1266718217.9534013
2023-03-24 09:00:00,14.5,14.5,13.6,14.0,144118576.15310106,2030589173.5453184
2023-03-25 09:00:00,13.9,14.0,13.6,13.8,108464863.06855482,1492220451.8955855
2023-03-26 09:00:00,13.6,14.0,13.6,13.9,62595717.58924857,866883255.8705716
2023-03-27 09:00:00,14.0,14.1,13.0,13.3,199934110.93557242,2719799943.9223433
2023-03-28 09:00:00,13.3,13.5,12.9,13.5,134187931.53030655,1758095946.5186393
2023-03-29 09:00:00,13.5,14.3,13.4,14.1,129009010.80793475,1782258759.811183
2023-03-30 09:00:00,14.2,14.3,13.6,13.8,117575659.38411506,1634366247.3847458
2023-03-31 09:00:00,13.8,14.2,13.5,14.0,100395722.98017655,1390906331.3539798
