,open,high,low,close,volume,value
2023-01-05 09:00:00,8470.0,8780.0,8330.0,8360.0,1045770.95941883,8939123527.849094
2023-01-06 09:00:00,8360.0,8405.0,8035.0,8320.0,485220.10858978,3971226836.9325166
2023-01-07 09:00:00,8320.0,8405.0,8255.0,8330.0,203350.05138948,1695214966.659131
2023-01-08 09:00:00,8335.0,8560.0,8225.0,8545.0,225946.63190224,1892085253.0563786
2023-01-09 09:00:00,8545.0,9000.0,8520.0,8600.0,841901.12362258,7317649973.981585
2023-01-10 09:00:00,8610.0,8775.0,8420.0,8670.0,527134.80841832,4546265227.600565
2023-01-11 09:00:00,8670.0,8815.0,8435.0,8790.0,374601.54048423,3224947924.3334036
2023-01-12 09:00:00,8790.0,9025.0,8520.0,8990.0,710819.83404895,6262673699.150597
2023-01-13 09:00:00,9010.0,9420.0,8880.0,9310.0,513370.74127285,4652055445.8641815
2023-01-14 09:00:00,9305.0,10000.0,8960.0,9510.0,1364431.21934364,13019523056.638596
2023-01-15 09:00:00,9510.0,9675.0,9115.0,9595.0,684004.79064054,6416788034.834818
2023-01-16 09:00:00,9595.0,9810.0,9155.0,9450.0,486620.99792156,4631957100.257184
2023-01-17 09:00:00,9455.0,9750.0,9320.0,9435.0,621583.35347313,5911004452.787426
2023-01-18 09:00:00,9440.0,9670.0,8880.0,8970.0,560006.27739063,5243520269.919036
2023-01-19 09:00:00,8965.0,9305.0,8935.0,9285.0,315253.82952968,2865772587.5243015
2023-01-20 09:00:00,9285.0,9820.0,9200.0,9815.0,329945.9010281,3127877487.5127764
2023-01-21 09:00:00,9815.0,10180.0,9680.0,9780.0,752567.25635585,7477911594.321032
2023-01-22 09:00:00,9780.0,10200.0,9760.0,10020.0,813181.05052206,8158849387.93922
2023-01-23 09:00:00,10020.0,10310.0,9890.0,10100.0,669398.4070009,6766244855.169886
2023-01-24 09:00:00,10080.0,10720.0,9570.0,9715.0,952227.41964364,9754163143.57273
2023-01-25 09:00:00,9715.0,10160.0,9425.0,10000.0,555229.63791044,5397886610.4837885
2023-01-26 09:00:00,10020.0,10870.0,9975.0,10300.0,1270950.94828522,13104102024.499357
2023-01-27 09:00:00,10330.0,10560.0,9990.0,10400.0,616889.11215216,6343247690.889799
2023-01-28 09:00:00,10410.0,10700.0,10150.0,10420.0,486701.38652002,5094124343.844971
2023-01-29 09:00:00,10430.0,10640.0,10310.0,10520.0,324486.40829186,3411404152.7900047
2023-01-30 09:00:00,10510.0,10960.0,9885.0,10130.0,2214641.3911457,22937936663.599255
2023-01-31 09:00:00,10130.0,10390.0,9905.0,10280.0,427677.64927236,4335310397.035369
2023-02-01 09:00:00,10290.0,10570.0,9865.0,10530.0,304091.51530372,3096639363.3337975
2023-02-02 09:00:00,10530.0,11750.0,10520.0,11160.0,1474748.80495991,16465435824.905624
2023-02-03 09:00:00,11160.0,11350.0,10900.0,11230.0,549817.23942629,6101629959.937998
2023-02-04 09:00:00,11240.0,11500.0,11080.0,11160.0,321269.66678305,3598247051.1561055
2023-02-05 09:00:00,11120.0,11890.0,10500.0,11210.0,2207216.25689285,24918718212.01187
2023-02-06 09:00:00,11210.0,11290.0,10850.0,11160.0,668356.55659049,7417257086.150137
2023-02-07 09:00:00,11190.0,11600.0,11090.0,11550.0,405251.21025995,4575484574.002266
2023-02-08 09:00:00,11550.0,11900.0,11010.0,11710.0,455298.26327107,5231845606.347413
2023-02-09 09:00:00,11730.0,13880.0,11130.0,11540.0,8917132.00002714,112907776744.058
2023-02-10 09:00:00,11540.0,12970.0,11490.0,11730.0,4500791.5559979,55009659534.33168
2023-02-11 09:00:00,11760.0,11780.0,11310.0,11550.0,489559.07295652,5633311240.87708
2023-02-12 09:00:00,11550.0,11660.0,11020.0,11160.0,572418.3391939,6541992379.434687
2023-02-13 09:00:00,11160.0,11190.0,10490.0,10910.0,451043.63880114,4894846938.794032
2023-02-14 09:00:00,10910.0,11280.0,10580.0,11260.0,334133.53678345,3652460368.815415
2023-02-15 09:00:00,11260.0,11920.0,11140.0,11910.0,448400.36291598,5139793573.37098
2023-02-16 09:00:00,11910.0,12380.0,11400.0,11430.0,861428.82310676,10319437198.061935
2023-02-17 09:00:00,11420.0,12750.0,11380.0,12320.0,648416.75768545,7867136728.904989
2023-02-18 09:00:00,12320.0,13000.0,12320.0,12540.0,1326743.66704286,16849913443.911219
2023-02-19 09:00:00,12540.0,14540.0,12350.0,13490.0,5064894.22171067,69350076554.16794
2023-02-20 09:00:00,13440.0,19060.0,13360.0,18920.0,24008508.82298148,399393734470.1584
2023-02-21 09:00:00,18910.0,20420.0,17160.0,17410.0,16225754.26745633,307983126750.67255
2023-02-22 09:00:00,17410.0,18790.0,16680.0,17700.0,8637336.02921542,153761806877.41852
2023-02-23 09:00:00,17700.0,18150.0,16620.0,16770.0,2540480.7929896,44290713213.96004
2023-02-24 09:00:00,16760.0,16770.0,15210.0,15510.0,2179220.30412867,34754153942.17868
2023-02-25 09:00:00,15510.0,16100.0,14770.0,15220.0,1944056.05348354,30283318311.165657
2023-02-26 09:00:00,15210.0,16940.0,14960.0,16500.0,5803641.7209025,94630477870.58139
2023-02-27 09:00:00,16520.0,18530.0,16400.0,17590.0,10722268.47531134,189308848156.2639
2023-02-28 09:00:00,17590.0,17670.0,16000.0,16040.0,2050279.50006448,34442202912.89826
2023-03-01 09:00:00,16020.0,17540.0,15900.0,16810.0,3991410.28571,67942450378.06886
2023-03-02 09:00:00,16810.0,16810.0,15850.0,16370.0,1251933.87357307,20369312767.417366
2023-03-03 09:00:00,16350.0,16640.0,14800.0,15530.0,1457808.81084879,22525623516.814808
2023-03-04 09:00:00,15520.0,16670.0,15480.0,16030.0,3189692.75640046,51538691243.73307
2023-03-05 09:00:00,16030.0,16670.0,15620.0,16110.0,1910833.04051368,31198158823.050297
2023-03-06 09:00:00,16110.0,16150.0,15310.0,15650.0,954286.08905597,14944467967.762152
2023-03-07 09:00:00,15650.0,16530.0,15000.0,15390.0,2181868.21877168,34553610538.834335
2023-03-08 09:00:00,15400.0,15410.0,13790.0,14040.0,1304626.31053829,18959644159.43618
2023-03-09 09:00:00,14040.0,14670.0,13190.0,13400.0,1293204.26222859,18073706003.3789
2023-03-10 09:00:00,13400.0,13480.0,12500.0,13330.0,1204845.11068447,15627355305.118156
2023-03-11 09:00:00,13330.0,13740.0,12390.0,12960.0,808701.99161506,10497139919.825428
2023-03-12 09:00:00,12940.0,13690.0,12310.0,13690.0,772931.93463114,9980375882.713623
